rational;okwenanisiqhathaniso;
rational number;inamba/inombolo eyinanisiqhathaniso;
ray;umsebe;
reactance; ukuphazamiseka kukagesi;
reaction;impoqonsebenziswano/ingxubensebenziswano;
real; okwangempela;
real number; inamba yangempela;
reciprocal;okunikezelanayo;
rectangle;unxande;
reduce;-nciphisa ;
reference;okuyisisuselo;
reflection;ukubuyisa;
refraction;ukuchezukamaza;
relative;-thi akufane;
repulsion;ukuqhelelana;
resistor;isithiyagesi;
resolve;cozulula/xazulula;
resonate;thathelakungqangqazela;
resultant;okuwumphumela;
reversible;iyanxazonke;
rigid;okungagobiyo;
rocket;irokhethi;
rod;induku (yensimbi, yokhuni, yeplastiki);
root;inambamsuka;
rotational;okuzungezayo;
satellite;1.isathelaythi        2.isiphakelalwazimkhathi;
scalar;okunobungako kuphela;
science;isayensi;
screen; isikrini;
secant;isikhenti;
second;umzuzwana;
semiconductor;isemikhondakhtha/isingasidlulisagesi;
sequence;ukulandelana ngokulamana;
series;uchungechunge;
set;iqoqo;
shape;umumo;
shear;dabula/klebhula;
sheet;ishidi/uqweqwe;
shell;igobolondo/isheli;
sign;uphawu;
significant;okubalulekile;
simple;okulula/ okungaphicene;
slit;umfantu/imbotshana;
solenoid;isolenoydi;
solid;okuqinile;
solution (maths);ingxube/umphumelasixazululo;
solve;-xazulula;
solvent;okuncibilikisayo;
sound;umsindo;
source;umthombo;
space;1. umkhathi 2. isikhala 3. indawo;
spark;inhlansi;
specific; okucacisiwe/okuqonde ngqo;
spectrum;iqoqozinhlobo;
specular;okusasibuko;
speed;ijubane;
sphere;isfiye;
spontaneous;okuzenzakalelayo;
square;isikwele;
stability;uzinzo/ukusimama;
standard;iqophelo;
state;isimo;
static;okumile;
stimulated;okukhuthaziwe;
strain;1. -cindezela 2. -cwenga 3. uhlobo;
stratify;-hlukanisa/ -hlela;
stratosphere;istrathosfiye;
stress;1. ingcindezi/ ukhwantalala  2. ukumfonyoza;
structure;isakhiwo;
sublimation;ukweqa isigaba;
subscript; omaphansi;
subshell; igobolondwana/isabhsheli;
substance;isambalutho;
substitute;ithathandawo;
subtend;-sekela;
subtract;-susa;
suffix;Umbhalo omaphansi;
sum;umphumelasihlanganiso;
sun;ilanga;
superconductor;isedlulisikubandeni;
supernova;isuphanova;
superposition;ukugibelana;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
