English Term,English Definition,IsiZulu Term,IsiZulu Definition
psychological stress ,,ingcindezi engqondweni,
psychologist ,,umeluleki wezengqondo,
psychosocial ,,okwengqondonhlalo ,
psychotherapy ,,ukwelashwa ngokwengqondo,
puberty ,,ukuthomba ,
pulse ,,ukushaya kwenhliziyo,
pyrexia ,,ukushisa komzimba ngokweqile/ imfiva ,
quantitative assessment ,,ukuhlolwa ngokwamanani,
radioactivity ,,ukushisa ngemisebe (ekwelapheni) ,
radiography ,,umkhakha wokuthathwa kwezithombe ngemisebe/ iradiyografi,
rape ,,ukudlwengula,
records ,,okuqoshiwe/ amarekhodi,
rehabilitation ,,ukubuyisela esimweni / ukuhlumelelisa (impilo),
reservoir ,,isidleke samagciwane ,
resources ,,izinsizakusebenza  ,
retirement ,,umhlalaphansi ,
rickets ,,amagwegwe ,
risk ,,ingcuphe ,
risk factor ,,imbangelangcuphe ,
routine ,,inqubonjwayelo ,
rubella ,,isimungumungwane sabadala,
sanitation ,,ukuhlanzwa ,
sanitarium ,,isibhedlela sezifo eziyisimbelambela,
scenario ,,ubunjalosimo ,
screening,,1.ukuhlolela isifo 2.ukuhenqa 3.ukuhlunga,
seasonal,,ngezikhathi ezithile zonyaka,
semen ,,icena ,
seroconversion ,,uguqukosimo lwamasotshomzimba ,
sex education ,,ukufundiswa ngezocansi ,
sexual orientation ,,1.ukuthambekela ngokocansi 2.ukufundiseka ngokobulili,
sexuality ,,okuqondene nobulili / okuthintene nobulili ,
significant ,,okubalulekile/ okubonakalayo ,
single parent family ,,umndeni onomzali oyedwa,
skip generation family,,umuzi ophethwe umkhulu noma ugogo,
smallpox ,,ingxibongo/ upokisi ,
specialist,,ungoti/ uchwepheshe ,
specific ,,okuqondwe ngqo/ okucacisiwe ngqo,
specimen ,,isampula ,
Sti,,isifo socansi/ isti,
step family (parent),,isingamndeni (umzali) ,
stigma ,,isici,
stroke ,,isifo sohlangothi/ unhlangothi ,
substance ,,utho ,
suicide ,,ukuzibulala ,
sulphur ,,isibabuli/ isalfa,
suppositories ,,amaphilisi okuphuphutha/ isiphuphutho,
susceptible ,,ukuba sengcupheni (yokusuleleka),
synovial joint,,ijoyinti elinyakazayo,
symptom ,,1.inkombasifo 2.inkomba 3.uphawu,
syndrome ,,inhlanganiselazimpawu,
syphillis ,,ugcusula/ ugcunsula ,
systematic ,,okuhlelekile ,
temparature ,,izinga lokushisa,
tertiary prevention ,,isigaba sesithathu sokuvikela,
testes ,,amasende ,
testosterone ,,isigqa samasende ,
tetanus ,,umhlathingqi ,
mortality rate ,,izinga labafayo,
the social boundaries of a community,,imingcelenhlalo yomphakathi/  imiklamonhlalo yomphakathi,
traditional nuclear of a family ,,umndeni ophelele ,
transmission ,,ukuthelela / ukudlulisela ,
transfusion ,,ukufakela emthanjeni,
trauma ,,ukulimala,
trisomy ,,onokukhubazeka (one-down syndrome),
tubal ligation ,,ukuboshwa/ ukusikwa kwepayipi lesizalo ,
tumor ,,isimila ,
typhoid fever,,isifo sohudo/ ithayifodi,
ulcer ,,isilonda / uzokozela/ uzozo a) izinhlobo zesilonda b) izinhlobo zesilonda esigubhekile emgudwini wokudla. c) izinhlobo zesilonda esigubhekile ehlweni.,
umbilical cord ,,(sp)inkaba/ inongwane(gp) ,
universal ,,okufanayo yonkindawo ,
urinate ,,chama / shobinga,
uterus ,,isizalo/ isibeletho,
vaccine ,,umgomo ,
vagina ,,inhlunu/igolo/inkomo/isitho sowesifazane sangasese,
vasectomy ,,ukuvala inzalo kowesilisa/ukuthenwa,
virus ,,igciwane elingalapheki,
vitamin b ,,isakhamzimba esiwvithamini b,
vitamin c ,,isakhamzimba esiwuvithamini c,
womb ,,isibeletho / isizalo ,
vaginal candidiasis/ vaginal yeast infection,,inkwethu etholakala enhlunwini/egolweni/enkomeni/esithweni sowesifazane sangasese ,
water fluoridation ,,ukuhlanza amanzi ngesivimbakubola samazinyo/ ukuhlanza amanzi ngeflorayidi ,
web of casuality ,,uchungechunge lwezimbangelasifo,
well- baby clinic,,1.umtholampilo wabantwana /wezingane/iklinikhi yabantwana/ yezingane,
whooping cough (pertussis),,ugonqogonqo/ukhohlokhohlo,
worm ,,isikelemu/ isilo/ingcili.,
windshield survey ,,1.uhlolocwaningo ngokukawindshield,
x-ray ,,isithombe sokuhlola / i-eksireyi ,
zygote ,,ihlule (umbungwana) ,
respiratory function,,umgudu wokuphefumula,
arterial blood gas,,igesi yegazi kuma-athari,
acute bronchitis ,,ibhronkhayithisi yesikhashana,
bronchiectasis ,,isinwebekamapayipi  emaphashini,
cyanosis ,,ukuphela kwe-oksijini egazini,
chronic bronchitis ,,ibhronkhayithisi eyimfanaye/ ibhronkhayithisi eyisimbelembela,
chemoreceptor ,,isihlanzamoya esilinganisayo egazini ,
dyspnoea ,,iphika ,
empyema ,,ubovu/ ubomvu emaphashini,
external respiration ,,ukuphefumula ,
functional residual capacity,,umoya osala emaphashini,
gas exchange ,,1.ukushintshana kwamagesi 2.  ukunikezelana kwamagesi ,
hypoxia ,,ukuncipha kwe-oksijini ezicutshini,
hypercarpnea ,,ukwanda kwesikhutha egazini / ukwanda kwekhabhonidayoksayidi  egazini,
inspiratory capacity,,isilinganisomoya/ umthamomoya ongawudonsa,
lung abscess,,ithumba elisemaphashini,
pulmonary emphysema ,,isiminyanamaphaphu ,
pneumonia ,,isifuba samakhaza/ inyumoniya ,
perfusion ,,isilinganisomagesi egazini,
surfactant ,,isikhulisamaphaphu,
tachypneoa,,ukuhefuzela/ umubefu,
tidal volume ,,ubungakomoya ,
tracheobronchitis ,,ulwelwesikuvuvuka kwamaphaphu noqhoqhoqho ,
ventilation ,,ukuphefumula / ukungena nokuphuma komoya emaphashini,
the immune system and infectious disease,,uhlelo lokuzivikela  komzimba nezifo ezithathelwanayo,
accessory cells ,,izinsizakulwa namagciwane,
adaptive immunity ,,amasosha alwa nohlobo oluthile lwamagciwane,
antibodies ,,amasosha omzimba,
basophils and mast cells,,izingqaphabuthi ezivikelayo (ezisegazini/ezisezicutshini),
eosinophils ,,izingqaphabuthi (ezihlaselayo),
histamine ,,isiqedasihlungu,
innate immunity ,,izivimbelabuthi ozalwa nazo ,
lymphocytes ,,ibutho lamasosha abikayo /isikhiqizimasosha /amasosha awongqondongqondo/izinhlabamkhosi /isiqedelimasosha akhinyabezekile/iziqedelankubela/ izibulalankubela,
monocytes ,,amasosha omzimba asakhula,
macrophages,,amasosha omzimba asekhulile,
neutrophils ,,amasosha omzimba angomasheshafe,
phagocytes ,,amasosha omzimba apitshizayo/ omapitshiza,
disorders in immunity,,izinkinga zokuvikeleka komzimba,
anaphylactic shock ,,isihlungu esikhulu,
dependant cytotoxic hypersensitivity,,isihlungu esidalwa ukufakelwa igazi,
functional defects ,,ukwehluleka kwamasosha omzimba ukusebenza ,
hypersensitivity ,,ukusebenza kwamasosha omzimba ngokweqile ,
impairment of b lymphocytes,,ukungakhuli ngokwanele kwamasosha omzimba/ ubutondo belimfosayithi b,
impairment of t lymphocytes,,ukungakhuli ngokwanele kwamasosha omzimba/ ubutondo belimfosayithi t,
myasthema gravis,,isifo sokungasebenzi kahle kwezicubu zomzimba nemizwa,
neutropenia,,ukungeneli kwamasosha omzimba/ inithrophiniya,
serum sickness ,,isifo sokuncishelwa uhluzi (isiram) ,
(sytemo lupuseryth ematosus)?sle/ lupus?? ,,uluphasi,
infections of the gastrointestinal tract,, izifo zomgudu wokudla ezithelelanayo,
cholera ,,isifo sohudo ikholera,
hepatitis b,,isifo esivuvukalisa isibindi/ ihephathayithisi-b,
salmonellosis ,,isifo sohudo isalimonelosisi,
blood disorders,,izifo zegazi,
blood ,,igazi ,
anaemia ,,i-anemiya,
aplastic anaemia,,i-anemiya e-aphulastikhi,
agranulocytosis ,,isifo segazi sokungabibikho kwamanuthrofilisi,
erythrocytes (rbc),,izingqalampilo ezibomvu ezikhule ngokuphelele  egazini,
globin ,,isicutshana sezakhamzimba/ iglobhini,
growth hormone ,,isigqa esikhulisayo / ihomoni ekhulisayo ,
heam:,,ingxenye ebomvu yegazi,
heamorrhage,,isifo somopho ,
hemophilia ,,isifo sokopha ,
hemolytic anaemia,,i-anemiya ehimolithikhi,
iron ,,isakhamzimba esiyi-ayoni,
iron deficiency anaemia,,i-anemiya yokunganeli kwesakhamzimba esiyi-ayoni ,
leukae[ne]mia,,umdlavuza wegazi/ ilukhimiya,
leucocytes,,izingqalampilo zegazi ezimhlophe/ilukhosayithi,
megaloblastic anaemia,,i-anemiya emegalobhlastikhi,
platelets/thrombocytes,,isishubisigazi emzimbeni,
plasma,,uketshezi olumthutshana  egazini/ iplazima,
polycythaemia vera ,,isifo sokwanda kwezingqalampilo ezibomvu zegazi,
reticulocyte ,,izingqalampilo ezibomvu zegazi ezingakhulile ngokwanele,
sickle cell anaemia,,i-anemiya yezingqalampilo ezisasikela,
splenomegaly ,,ukukhula ngokweqile kobende,
thalassemia ,,i-anemiya ehemolithiki / ithalasemiya,
nervous system,,uhlelo lwemizwa,
autonomic nervous system ,,ingxenye yohlelo lwemizwa ezilawulayo,
arachnoid matter,,ulwebu elumaphakathi ebuchosheni ,
blood brain barrier,,isivimbakungcola ebuchosheni/ isivikelabuthi ebuchosheni/ isivikelabuchopho ,
brain stem ,,isikhonkosi/isijungujungu/isiqu sobuchopho,
basal gangalia ,,inhlanganisela yezingqalampilo zemizwa,
burr hole ,,imbobo ebhotshozwa ogebhezini lwekhanda,
ct scan (computed tomography),,umshini wokuthwebula ubuchopho / i- ct skeni,
cerebral ischaemia,,ukuncipha kwegazi ebuchosheni,
craniotomy ,,ukuvulwa kogebhezi ebuchosheni/ ukugwatshulwa kogebhezi,
cardiac center,,isilawulanhliziyo esisebuchosheni ,
cerebrospinal fluid,,uketshezi oluzungeze ubuchopho nomfunkulu/ uketshezi oluyisizungezabuchopho nomfunkulu,
cerebellum,,ubuchopho besiphundu,
contusion ,,ukuthinteka  kobuchopho,
connector or interneuron ,,isixhumanisimizwa,
dura matter ,,isimbozabuchopho nomfunkulu ,
diencephalon,,isehlukanisobuchopho obungaphambili/ ukuhlukaniseka kobuchopho obungaphambili,
epithalamus ,,ubuchopho besiphongo/ ingxenye yobuchopho engaphambili,
heamatoma ,,ihlule elisebuchosheni ,
herniation ,,ukuputshuka kwengxenye yobuchopho nolwebu,
hydrocephalus ,,ukukhiqiza kwamanzi amaningi ebuchosheni,
hypertension ,,umfutho wegazi ophakeme ,
hypothalamus ,,ingxenye yobuchopho engaphambili,
intracranial pressure (icp),,umfutho osebuchosheni/ i-icp ,
impulse ,,imizwa ,
laceration ,,ukuklwebheka/ukusikeka/umklwebho,
lumber puncture ,,ukuqhumbuza isembozamfunkulu  ,
limbic system ,,inxanxathela yemizwa,
magnetic resonance imaging (mri),,ubuchwepheshe bokuhlola umumo nokusebenza komzimba/ imri,
midbrain ,,ubuchopho obumaphakathi ,
meninges ,,ulwebu olumboze ubuchopho nomfunkulu ,
medulla oblongata,,ingaphansi lesikhonkosi sobuchopho / lesijungujungu sobuchopho/ lesiqu sobuchopho,
motor or efferent neuron ,,isithumelamiyalezo esisebuchosheni nasemfunkulweni ,
neuron ,,umsuka wemizwa ,
peripheral nervous system (pns) ,,uhlelomizwa olungaphandle kobuchopho nomfunkulu/ ipns ,
pia matter ,,ingaphakathi lesembozabuchopho  ,
pons ,,isihlanganisibuchopho nesikhonkosi ,
pituitary gland ,,indlala yesigqa  (ihomoni),
sensory or afferent neuron  ,,izithumelamilayezo ezisemzimbeni ,
synapse ,,isidlulisamiyalezo/ isixhumanisimizwa,
trans ? sphenoidal approach ,,ukuhlinza okungena ngaphansi kogebhezi,
transoral route ,,ukuhlinza okungena ngasemlonyeni,
thalamus ,,imizwa yengxenyana yobuchopho besiphongo  obungaphambili,
viral encephalitis ,,isivuvukalisabuchopho/ igciwane elivuvukalisa ubuchopho ,
ventricular system ,,uhlelo lwemigudu yoketshezi ebuchosheni,
cerebrovascular system accidents  ,,ukuphazamiseka kwemithambo yegazi ebuchosheni ,
cerebral heamorrhage ,,ukophela ebuchosheni ,
cerebral thrombosis,,ukujiya kwegazi ebuchosheni (emthanjeni),
cerebral embolus ,,ibhola lomoya ebuchosheni,
