insula,,isiqhingi/okusithekile,;
internuncial,,isedlulisimizwa,;
intimus,,okujulile,;
intra-,,isiqalo esiphathelene nengaphakathi,;
introitus,,umngenasikhaleni,;
inversion,,ukuphendulela ngaphakathi,;
iris,,isiyingi seso,;
ischium,,ingxenye yenqulu,;
it is,,isijobelelo sokuphathelene nokuvuvuka,;
jejenum,,ijeje/ithumbu elincane elimaphakathi,;
jugular,,umthovothi,;
jugum,,okumise okwejoka,;
juxta-,,isiqalo esiphathelene nokuncikene/nokusondelene,;
keratin,,isakhaphondo/ikherathini,;
labium,,udebe/ilebe,;
labrum,,okumise okodebe,;
labyrinth,,inkimbinkimbi,;
lacerum,,inxeba / ukusikeka okungaqondile/ukudabuka,;
lacrima,,unyembezi,;
lactation,,ukukhiqizwa kobisi,;
lacteal,,okusabisi,;
lacuna,,isikhala,;
lacus,,ichibi ,;
lambda,,inhlanganagebhezi engemuva,;
lamella,,okusapuletana/ugqinsana,;
lamina,,okusapuleti/ugqinsi,;
lanugo,,amayoywana,;
larynx,,igilo,;
lata,,ububanzi,;
lateral,,okusemaceleni,;
latissimus,,ububanzikazi,;
lemniscus,,okusamucu,;
lentiform,,okusamumo welentili,;
leucocyte,,izinhlayiya zegazi ezimhlophe,;
levator,,isiphakamisi,;
lienal, lieno,,ubende,;
limbic,,okwengxenye esekujuleni kobuchopho,;
limitans,,umngcele,;
lingua,,okuphathelene nolimi,;
lingual,,ulinyana,;
locus,,indawo,;
logy,,isijobelelo esiphathelene nolwazi,;
longissimus,,okude kakhulu,;
longus,,okude,;
lucidum,,okukhanyayo/okucwebile ,;
lumbar,,idanda,;
lumbrical,,okusamsunjwana,;
lunate,, okumise okocezu lwenyanga,;
lutea,,okuphuzi,;
lymph,,uketshezi olusabisi,;
macro,,okukhulu,;
macula,,ichashazi/ichashaza,;
magna,,okukhulukazi,;
malleolus,,okusasandwana,;
malleus,,okusasando   ,;
mammillaria,,okusabele,;
mamma,,ibele,;
mandible,,umhlathi ongezansi,;
manubrium,,okusahawu,;
manus,,isandla,;
masseter,,umsipha womhlathi wangezansi,;
mastication,,ukuhlafuna,;
mastoid,,ithambo elisabele,;
matrix,,ingxenye ethambile yethambo,;
maxilla,,umhlathi ongaphezulu,;
maximus, maximum,,okukhulu kakhulu,;
meatus,,okusamhubhe,;
medial,,umugqa omaphakathi,;
median,,okuphakathi,;
mediastinum,,okume maphakathi ,;
medius,,iphakathi nendawo,;
medulla,,ingaphakathi/umnkantsha/umnyombo,;
meiosis,,indabulakane,;
melanin,,okufiphazayo/okwenzamnyama,;
meninges,,untwentwesi lobuchopho,;
meniscus,,uqwanga olusanyanga/iminiskasi,;
mental,,1isilevu   bz. 2. okwengqondo   sch.,;
meralgia,,ubuhlungu obusethangeni,;
mesenchyme,,izicubu zombungu,;
mesentery,,isibambamathumbu,;
meso-,,isiqalo esiphathelene nokumaphakathi,;
meta-,,isiqalo esiphathelene nesimo sokuguquka,;
metanephrogenic,,isimokuguquka sokugcina sezinso,;
metopic,,isiphongo,;
micro-,,isiqalo esiphathelene nokuncane kakhulu  ,;
micturition,,ukuchama/ukushobinga/ukuthunda,;
minimus,, okuncane kakhulu,;
mitosis,,indabulakabili,;
modiolus,,indawo emaphakathi,;
molar,,ibamba,;
morphology,,isifundo sesimosakhiwo,;
morula,,ihlulwana ,;
motor,,okunyakazisayo,;
multifidus,,inhlukanakaningi,;
myelo-,,isiqalo esiphathelene nokusamnkantsha,;
myenteric,,umsipha wethumbu,;
mylo-,,isiqalo esiphathelene nomhlathi wangezansi,;
myo-,,isiqalo esiphathelene nomsipha,;
myotome,,izingxenyemizwa zemisipha,;
nares,,izimbobo zekhala,;
navicular,,okusasikebhe,;
neo-,,isiqalo esiphathelene nokusha,;
neonatus,,usana ,;
neopallium,,igobolondo elisha,;
nephron ,,isakhamchamo,;
neurilemma,,isembozamizwa,;
neurobiotaxis,,ukuhleleka nempilo kwemizwa ,;
neuroglia,,isinamathelisimizwa,;
neuron,,umuzwa,;
nigra,,okumnyama,;
node,,ifindo,;
nodule,,ifinjwana,;
notochord,,isandulelamgogodla,;
nuchae,,isijungujungu,;
nucleus,,umongo,;
nystagmus,,ukuyaluza okungalawuleki kwamehlo,;
obturator,,okokugcika/okokuvala imbobo,;
occiput,,isiphundu,;
oculomotor,,isinyakazisahlo/ isinyakazisaso,;
oculus,,ilihlo/iso,;
odontoblast,,imbewu yezinyo,;
oedema,,ukudumba/ukuvuvukala,;
oesophagus,,umminzo,;
oid,,isijobelelo esiphathele nokufanisa /nomumo,;
olecranon,,ivi lendololwane,;
olfaction,,ukuhogela,;
omentum,,umhlwehlwe,;
omo-,,isiqalo esiphathelene nehlombe,;
ontogeny,,ukukhula kombungu,;
oocyte,,ingqalaqanda,;
operculum,,isivalo/ isivimbo / isembozo,;
ophthalmoscope,,isipopolo samehlo,;
opponens,,okuphikisana na-,;
optic,,okuphathelene nokubona,;
ora,,unqenqema/umphetho,;
oral,,okomlomo,;
orbicular,,okuzungezayo,;
orbit,,umgudunzungezo,;
os, oris,,imbobo,;
os, ossis,,ithambo  ,;
osis,,isijobelelo esiphathelene nesimo ,;
ossification,,ukuqina kwamathambo/ukwakheka kwamathambo,;
osteoblast,,isiqalisamathambo,;
osteoclast,,isiwohlozimathambo,;
osteocyte,,isicutshana sethambo,;
osteology,,isifundo ngamathambo,;
ostium,,imbobo,;
otic,,okwendlebe/okuphathelene nendlebe,;
otolith,,itshana lendlebe,;
otoscope,,isipopolo sendlebe,;
ovum,,iqanda  ,;
oxyntic,,okwesimuncwana,;
palaeo-,,okudala,;
palate,,ulwanga,;
palpebra,,ijwabu leso,;
pampiniform,,imithambo eyintandela,;
pancreas,,amanyikwe,;
panniculus,,umsweswana,;
papilla,,okusangono,;
para-,,isiqalo esiphathelene nokuseduzane /nokuncikile ,;
paradidymis,,okuncikene nesende,;
paralysis,,ukuphelelwa amandla ,;
paraplegia,,ukuphelelwa amandla emilenzeni/,;
,,ukukhubazeka kwesingezansi,;
parenchyma,,izicubu sezitho zomzimba,;
parietal,,untwentwesi lwengoxi ,;
